dir,position, wavelength(nm), frequency (THz)
down,122000,1122.922344,266.9751891
down,121750,1122.9223,266.9751883
down,121500,1122.922244,266.9752013
down,121250,1122.92219,266.9752461
down,121000,1122.922012,266.9752994
down,120750,1122.921664,266.9753888
down,120500,1122.924679,266.974405
down,120250,1122.923929,266.9745878
down,120000,1122.913939,266.9775337
down,119750,1122.898197,266.9809947
down,119500,1122.858828,266.9898055
down,119250,1122.852595,266.9912482
down,119000,1122.835853,266.9950305
down,118750,1122.836582,266.9964092
down,118500,1122.825028,266.9996843
down,118250,1122.724095,267.0228967
down,118000,1122.657721,267.0384148
down,117750,1122.591994,267.0527022
down,117500,1122.510213,267.0709925
down,117250,1122.416479,267.0952929
down,117000,1122.334687,267.115789
down,116750,1122.293597,267.1224956
down,116500,1122.196858,267.1487153
down,116250,1122.105469,267.16686
down,116000,1122.028396,267.1882351
down,115750,1121.914865,267.2144581
down,115500,1121.834725,267.2344452
down,115250,1121.73095,267.2577332
down,115000,1121.619923,267.2857982
down,114750,1121.526828,267.3085049
down,114500,1121.42814,267.3312316
down,114250,1121.322823,267.356078
down,114000,1121.224293,267.3787743
down,113750,1121.119089,267.4046644
down,113500,1121.007056,267.4305882
down,113250,1120.901842,267.4564933
down,113000,1120.803407,267.4802499
down,112750,1120.698265,267.5040145
down,112500,1120.586486,267.530969
down,112250,1120.481318,267.5568803
down,112000,1120.376215,267.5817113
down,111750,1120.264552,267.6086531
down,111500,1120.169581,267.6313433
down,111250,1120.047815,267.6604402
down,111000,1119.936128,267.6873966
down,110750,1119.831163,267.7122233
down,110500,1119.716205,267.739178
down,110250,1119.607984,267.7661227
down,110000,1119.493097,267.7930705
down,109750,1119.388214,267.8168307
down,109500,1119.283405,267.8427082
down,109250,1119.168624,267.8707067
down,109000,1119.053753,267.8976721
down,108750,1118.942272,267.9246297
down,108500,1118.834161,267.9505169
down,108250,1118.722777,267.9774588
down,108000,1118.617974,268.0023022
down,107750,1118.499901,268.0303279
down,107500,1118.385088,268.0583715
down,107250,1118.277045,268.0842748
down,107000,1118.162297,268.1112559
down,106750,1118.047521,268.1393067
down,106500,1117.929452,268.1673621
down,106250,1117.821349,268.1932977
down,106000,1117.70999,268.2202808
down,105750,1117.588698,268.2493934
down,105500,1117.480568,268.2753496
down,105250,1117.365952,268.3023372
down,105000,1117.254613,268.3293433
down,104750,1117.143319,268.3563398
down,104500,1117.018767,268.386527
down,104250,1116.914147,268.4114041
down,104000,1116.792969,268.4405272
down,103750,1116.685135,268.4653859
down,103500,1116.567313,268.4934501
down,103250,1116.449458,268.5225873
down,103000,1116.331703,268.5506466
down,102750,1116.223903,268.5776432
down,102500,1116.112797,268.6046446
down,102250,1115.991814,268.6327024
down,102000,1115.89786,268.6553162
up,102000,1115.897856,268.655824
up,102250,1115.898005,268.6557881
up,102500,1115.898859,268.6555824
up,102750,1115.899737,268.6553712
up,103000,1115.90109,268.6550452
up,103250,1115.904422,268.6542433
up,103500,1115.908085,268.6533611
up,103750,1115.911868,268.6524504
up,104000,1115.915996,268.6514568
up,104250,1115.921343,268.6501694
up,104500,1115.926617,268.6488996
up,104750,1115.934515,268.6469985
up,105000,1115.95431,268.6422334
up,105250,1115.999568,268.6313391
up,105500,1116.057928,268.6172919
up,105750,1116.142626,268.596908
up,106000,1116.237186,268.5741542
up,106250,1116.345129,268.5481846
up,106500,1116.459845,268.5205917
up,106750,1116.561101,268.4962405
up,107000,1116.658769,268.4727568
up,107250,1116.723042,268.4573046
up,107500,1116.804051,268.4378317
up,107750,1116.911633,268.4119755
up,108000,1116.99272,268.3924904
up,108250,1117.103768,268.3658106
up,108500,1117.181543,268.3471274
up,108750,1117.285931,268.3220558
up,109000,1117.393736,268.2961686
up,109250,1117.484895,268.2742821
up,109500,1117.582762,268.2507893
up,109750,1117.680667,268.2272915
up,110000,1117.795337,268.1997752
up,110250,1117.906733,268.17305
up,110500,1118.017981,268.1463654
up,110750,1118.112633,268.1236657
up,111000,1118.227463,268.0961323
up,111250,1118.328834,268.0718305
up,111500,1118.433661,268.0467052
up,111750,1118.545226,268.0199701
up,112000,1118.653392,267.9940548
up,112250,1118.758297,267.9689247
up,112500,1118.856533,267.9453967
up,112750,1118.978263,267.9162482
up,113000,1119.099933,267.8871199
up,113250,1119.211527,267.8604094
up,113500,1119.299895,267.8392623
up,113750,1119.411589,267.8125372
up,114000,1119.526725,267.7849949
up,114250,1119.64526,267.7566448
up,114500,1119.743663,267.7331142
up,114750,1119.848794,267.7079797
up,115000,1119.967369,267.6796363
up,115250,1120.086006,267.6512844
up,115500,1120.187762,267.6269714
up,115750,1120.286239,267.6034458
up,116000,1120.398093,267.5767299
up,116250,1120.506686,267.5507978
up,116500,1120.625467,267.5224391
up,116750,1120.723984,267.4989223
up,117000,1120.839402,267.4713769
up,117250,1120.95485,267.4438296
up,117500,1121.063526,267.4179042
up,117750,1121.162165,267.3943766
up,118000,1121.27415,267.3676715
up,118250,1121.379196,267.342625
up,118500,1121.47491,267.3198086
up,118750,1121.586679,267.2931677
up,119000,1121.702586,267.2655492
up,119250,1121.787827,267.2452412
up,119500,1121.896657,267.2193165
up,119750,1122.02001,267.1899395
up,120000,1122.104384,267.1698482
up,120250,1122.21342,267.1438894
up,120500,1122.318395,267.1189032
up,120750,1122.431293,267.0920339
up,121000,1122.536756,267.0669118
up,121250,1122.646625,267.0408057
up,121500,1122.766429,267.0123126
up,121750,1122.847061,266.9931403
up,122000,1122.925749,266.9744304
